name,frame,channel,channel_name,min,max,mean,std,nonzero_frac_gt_0p01,dark_frac_lt_0p02,white_frac_ge_0p35,binary_white_frac_ge_0p50
input,1,2,white_cloud,0.0,1.0,0.9037500023841858,0.25665971636772156,0.965625,0.036171875,0.927734375,0.905078125
input,1,3,cirrus,0.0,1.0,0.21687500178813934,0.38676372170448303,0.2853125,0.7176953125,0.2357421875,0.216171875
input,1,4,high_cloud,0.0,1.0,0.46187499165534973,0.4480651915073395,0.615625,0.3909375,0.508203125,0.46203125
input,1,5,medium_cloud,0.0,1.0,0.22499999403953552,0.33387741446495056,0.4465625,0.5640625,0.281171875,0.219296875
input,1,6,aot_on_cloud,0.0,0.2980392277240753,0.2614564895629883,0.07398059219121933,0.963828125,0.039765625,0.0,0.0
input,1,7,visible_gray,0.0,1.0,0.3238128423690796,0.2643924355506897,0.9585546875,0.0551171875,0.3551171875,0.2529296875
input,2,0,cloud_mask_or_fraction,0.0,1.0,0.24124999344348907,0.39681169390678406,0.32375,0.6794140625,0.2669921875,0.241328125
input,2,1,cloud_probability,0.0,0.729411780834198,0.06545558571815491,0.1199960708618164,0.317109375,0.694609375,0.03515625,0.011953125
input,2,2,white_cloud,0.0,1.0,0.24124999344348907,0.39681169390678406,0.32375,0.6794140625,0.2669921875,0.241328125
input,2,3,cirrus,0.0,1.0,0.016249999403953552,0.0979219302535057,0.04375,0.9579296875,0.0199609375,0.014609375
input,2,4,high_cloud,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
input,2,5,medium_cloud,0.0,1.0,0.22499999403953552,0.38785412907600403,0.299375,0.7032421875,0.2501171875,0.22578125
input,2,6,aot_on_cloud,0.0,0.21960784494876862,0.052056990563869476,0.08558882027864456,0.3205859375,0.6920703125,0.0,0.0
input,2,7,visible_gray,0.0,0.24313725531101227,0.04056556522846222,0.0676148384809494,0.31328125,0.7095703125,0.0,0.0
input,3,0,cloud_mask_or_fraction,0.0,1.0,0.24124999344348907,0.39681169390678406,0.32375,0.6794140625,0.2669921875,0.241328125
input,3,1,cloud_probability,0.0,0.729411780834198,0.06545558571815491,0.1199960708618164,0.317109375,0.694609375,0.03515625,0.011953125
input,3,2,white_cloud,0.0,1.0,0.24124999344348907,0.39681169390678406,0.32375,0.6794140625,0.2669921875,0.241328125
input,3,3,cirrus,0.0,1.0,0.016249999403953552,0.0979219302535057,0.04375,0.9579296875,0.0199609375,0.014609375
input,3,4,high_cloud,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
input,3,5,medium_cloud,0.0,1.0,0.22499999403953552,0.38785412907600403,0.299375,0.7032421875,0.2501171875,0.22578125
input,3,6,aot_on_cloud,0.0,0.21960784494876862,0.052056990563869476,0.08558882027864456,0.3205859375,0.6920703125,0.0,0.0
input,3,7,visible_gray,0.0,0.24313725531101227,0.04056556522846222,0.0676148384809494,0.31328125,0.7095703125,0.0,0.0
selector_template,0,0,cloud_mask_or_fraction,0.0,1.0,0.90625,0.2738931477069855,0.93796875,0.06328125,0.9162890625,0.9062890625
selector_template,0,1,cloud_probability,0.0,1.0,0.8425573706626892,0.2922147810459137,0.9365234375,0.06546875,0.8953125,0.8762109375
selector_template,0,2,white_cloud,0.0,1.0,0.90625,0.2738931477069855,0.93796875,0.06328125,0.9162890625,0.9062890625
selector_template,0,3,cirrus,0.0,1.0,0.006874999962747097,0.06132378801703453,0.0215625,0.97953125,0.007734375,0.00578125
selector_template,0,4,high_cloud,0.0,1.0,0.7106249928474426,0.3897204101085663,0.86421875,0.140703125,0.7703515625,0.7154296875
selector_template,0,5,medium_cloud,0.0,1.0,0.1887499988079071,0.3030961751937866,0.4146875,0.5971484375,0.2386328125,0.181015625
selector_template,0,6,aot_on_cloud,0.0,0.12941177189350128,0.10441484302282333,0.0348399356007576,0.9341015625,0.07703125,0.0,0.0
selector_template,0,7,visible_gray,0.0,1.0,0.5269975662231445,0.303120493888855,0.931640625,0.076015625,0.6996484375,0.5196875
selector_template,1,0,cloud_mask_or_fraction,0.0,1.0,0.7475000023841858,0.40490612387657166,0.825,0.1778515625,0.7730859375,0.748203125
selector_template,1,1,cloud_probability,0.0,0.9960784316062927,0.26429566740989685,0.24021318554878235,0.75015625,0.261796875,0.3083984375,0.168828125
selector_template,1,2,white_cloud,0.0,1.0,0.7475000023841858,0.40490612387657166,0.825,0.1778515625,0.7730859375,0.748203125
selector_template,1,3,cirrus,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
selector_template,1,4,high_cloud,0.0,1.0,0.45500001311302185,0.4533805549144745,0.5846875,0.4200390625,0.4993359375,0.456875
selector_template,1,5,medium_cloud,0.0,1.0,0.29249998927116394,0.37895965576171875,0.510625,0.4993359375,0.3505859375,0.28859375
selector_template,1,6,aot_on_cloud,0.0,0.07058823853731155,0.051768384873867035,0.028052501380443573,0.79125,0.22125,0.0,0.0
selector_template,1,7,visible_gray,0.0,1.0,0.3166476786136627,0.29007208347320557,0.8134375,0.205390625,0.3547265625,0.2315625
selector_template,2,0,cloud_mask_or_fraction,0.0,1.0,0.7475000023841858,0.40490612387657166,0.825,0.1778515625,0.7730859375,0.748203125
selector_template,2,1,cloud_probability,0.0,0.9960784316062927,0.26429566740989685,0.24021318554878235,0.75015625,0.261796875,0.3083984375,0.168828125
selector_template,2,2,white_cloud,0.0,1.0,0.7475000023841858,0.40490612387657166,0.825,0.1778515625,0.7730859375,0.748203125
selector_template,2,3,cirrus,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
selector_template,2,4,high_cloud,0.0,1.0,0.45500001311302185,0.4533805549144745,0.5846875,0.4200390625,0.4993359375,0.456875
selector_template,2,5,medium_cloud,0.0,1.0,0.29249998927116394,0.37895965576171875,0.510625,0.4993359375,0.3505859375,0.28859375
selector_template,2,6,aot_on_cloud,0.0,0.07058823853731155,0.051768384873867035,0.028052501380443573,0.79125,0.22125,0.0,0.0
selector_template,2,7,visible_gray,0.0,1.0,0.3166476786136627,0.29007208347320557,0.8134375,0.205390625,0.3547265625,0.2315625
selector_template,3,0,cloud_mask_or_fraction,0.0,1.0,0.7475000023841858,0.40490612387657166,0.825,0.1778515625,0.7730859375,0.748203125
selector_template,3,1,cloud_probability,0.0,0.9960784316062927,0.26429566740989685,0.24021318554878235,0.75015625,0.261796875,0.3083984375,0.168828125
selector_template,3,2,white_cloud,0.0,1.0,0.7475000023841858,0.40490612387657166,0.825,0.1778515625,0.7730859375,0.748203125
selector_template,3,3,cirrus,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
selector_template,3,4,high_cloud,0.0,1.0,0.45500001311302185,0.4533805549144745,0.5846875,0.4200390625,0.4993359375,0.456875
selector_template,3,5,medium_cloud,0.0,1.0,0.29249998927116394,0.37895965576171875,0.510625,0.4993359375,0.3505859375,0.28859375
selector_template,3,6,aot_on_cloud,0.0,0.07058823853731155,0.051768384873867035,0.028052501380443573,0.79125,0.22125,0.0,0.0
selector_template,3,7,visible_gray,0.0,1.0,0.3166476786136627,0.29007208347320557,0.8134375,0.205390625,0.3547265625,0.2315625
selector_output,0,0,cloud_mask_or_fraction,0.0,1.0,0.9912971258163452,0.07620289921760559,0.99875,0.00140625,0.994609375,0.99203125
selector_output,0,1,cloud_probability,0.0,1.0,0.9143853187561035,0.19960223138332367,0.9975390625,0.003671875,0.95390625,0.93953125
selector_output,0,2,white_cloud,0.0,1.0,0.9912971258163452,0.07620289921760559,0.99875,0.00140625,0.994609375,0.99203125
selector_output,0,3,cirrus,0.0,1.0,0.2209431678056717,0.3878432512283325,0.295625,0.7077734375,0.240546875,0.22
selector_output,0,4,high_cloud,0.0,1.0,0.8017346858978271,0.3357691764831543,0.9278125,0.075859375,0.853828125,0.81078125
selector_output,0,5,medium_cloud,0.0,1.0,0.3594025671482086,0.36401766538619995,0.6784375,0.3345703125,0.4544921875,0.36078125
selector_output,0,6,aot_on_cloud,0.0,0.2980392277240753,0.2669001519680023,0.05702224746346474,0.998515625,0.0020703125,0.0,0.0
selector_output,0,7,visible_gray,0.0,1.0,0.618925154209137,0.2716473340988159,0.99796875,0.0037890625,0.8038671875,0.6649609375
selector_output,1,0,cloud_mask_or_fraction,0.0,1.0,0.9791412353515625,0.12027934193611145,0.9946875,0.005703125,0.9861328125,0.9808984375
selector_output,1,1,cloud_probability,0.0,1.0,0.7047025561332703,0.32254043221473694,0.9918359375,0.010234375,0.788125,0.7176953125
selector_output,1,2,white_cloud,0.0,1.0,0.9791412353515625,0.12027934193611145,0.9946875,0.005703125,0.9861328125,0.9808984375
selector_output,1,3,cirrus,0.0,1.0,0.21687500178813934,0.38676372170448303,0.2853125,0.7176953125,0.2357421875,0.216171875
selector_output,1,4,high_cloud,0.0,1.0,0.7301415801048279,0.38475194573402405,0.8640625,0.139765625,0.78546875,0.740625
selector_output,1,5,medium_cloud,0.0,1.0,0.442632794380188,0.39411941170692444,0.7240625,0.28609375,0.5371875,0.45140625
