mode_index,mode,prob
4,max_add_cloud,0.82277512550354
6,soft_add_cloud,0.08983174711465836
0,keep,0.08708265423774719
2,alpha_0p50,0.00016362304450012743
5,min_remove_cloud,0.0001212813876918517
3,alpha_0p75,1.963209615496453e-05
1,replace,5.953600975772133e-06
