name,frame,channel,channel_name,absdiff_mean,absdiff_max,signed_mean_delta,positive_delta_frac_gt_0p01,negative_delta_frac_lt_minus_0p01
selector_output_minus_input,3,3,cirrus,0.0,0.0,0.0,0.0,0.0
selector_output_minus_input,3,4,high_cloud,0.45500001311302185,1.0,0.45500001311302185,0.5846875,0.0
selector_output_minus_input,3,5,medium_cloud,0.24732230603694916,1.0,0.24732230603694916,0.4166796875,0.0
selector_output_minus_input,3,6,aot_on_cloud,0.03524310514330864,0.07058823853731155,0.03524310514330864,0.5554296875,0.0
selector_output_minus_input,3,7,visible_gray,0.2822644114494324,1.0,0.2822644114494324,0.790390625,0.0
oracle_output_minus_input,0,0,cloud_mask_or_fraction,0.031321167945861816,0.5,0.031321167945861816,0.1208203125,0.0
oracle_output_minus_input,0,1,cloud_probability,0.09022660553455353,0.49803921580314636,0.09022660553455353,0.4603125,0.0
oracle_output_minus_input,0,2,white_cloud,0.031321167945861816,0.5,0.031321167945861816,0.1208203125,0.0
oracle_output_minus_input,0,3,cirrus,0.0012499999720603228,0.4372549057006836,0.0012499999720603228,0.007734375,0.0
oracle_output_minus_input,0,4,high_cloud,0.0374988354742527,0.5,0.0374988354742527,0.1940625,0.0
oracle_output_minus_input,0,5,medium_cloud,0.14933104813098907,0.5,0.14933104813098907,0.524921875,0.0
oracle_output_minus_input,0,6,aot_on_cloud,0.0761302039027214,0.1666666716337204,0.0761302039027214,0.7058203125,0.0
oracle_output_minus_input,0,7,visible_gray,0.062876857817173,0.394917368888855,0.062876857817173,0.67078125,0.0
oracle_output_minus_input,1,0,cloud_mask_or_fraction,0.0043576555326581,0.5,0.0043576555326581,0.023984375,0.0
oracle_output_minus_input,1,1,cloud_probability,0.0091468570753932,0.4941176474094391,0.0091468570753932,0.08453125,0.0
oracle_output_minus_input,1,2,white_cloud,0.0043576555326581,0.5,0.0043576555326581,0.023984375,0.0
oracle_output_minus_input,1,3,cirrus,0.0,0.0,0.0,0.0,0.0
oracle_output_minus_input,1,4,high_cloud,0.013185739517211914,0.5,0.013185739517211914,0.06421875,0.0
oracle_output_minus_input,1,5,medium_cloud,0.015648677945137024,0.5,0.015648677945137024,0.0855859375,0.0
oracle_output_minus_input,1,6,aot_on_cloud,0.01401166059076786,0.1980392187833786,0.01401166059076786,0.1319140625,0.0
oracle_output_minus_input,1,7,visible_gray,0.013440059497952461,0.42549020051956177,0.013440059497952461,0.119140625,0.0
oracle_output_minus_input,2,0,cloud_mask_or_fraction,0.03674250841140747,0.5,0.03674250841140747,0.1070703125,0.0
oracle_output_minus_input,2,1,cloud_probability,0.030334660783410072,0.49803921580314636,0.030334660783410072,0.132265625,0.0
