template_index,mode_index,mode,template_sample_id,template_location,template_anchor,template_coverage,pred_loss_wm2,target_loss_wm2,abs_error_wm2,score,image_l1_vs_input,coverage,coverage_base
23,6,soft_add_cloud,athens_gr_20250429T090000Z_s2b_msil2a_20250429t0905,athens_gr,2025-04-29T09:00:00+00:00,0.2572018653154373,98.60623931884766,100.0,1.3937606811523438,2.459512948989868,0.042630091309547424,0.5454065203666687,0.4976651072502136
32,6,soft_add_cloud,oslo_no_20250728T110000Z_s2b_msil2a_20250728t1046,oslo_no,2025-07-28T11:00:00+00:00,0.20504978050788245,98.1313705444336,100.0,1.8686294555664062,2.899622678756714,0.04123972728848457,0.5514737367630005,0.4976651072502136
14,6,soft_add_cloud,cairo_eg_20250414T090000Z_s2a_msil2a_20250414t0835,cairo_eg,2025-04-14T09:00:00+00:00,0.26010237634181976,101.99130249023438,100.0,1.991302490234375,3.1017398834228516,0.04441749304533005,0.5509731769561768,0.4976651072502136
4,6,soft_add_cloud,oslo_no_20250728T110000Z_s2b_msil2a_20250728t1046,oslo_no,2025-07-28T11:00:00+00:00,0.19346728920936584,97.45884704589844,100.0,2.5411529541015625,3.5071773529052734,0.03864097222685814,0.5502853393554688,0.4976651072502136
3,4,max_add_cloud,oslo_no_20250723T110000Z_s2c_msil2a_20250723t1050,oslo_no,2025-07-23T11:00:00+00:00,0.18188480536142984,102.2733154296875,100.0,2.2733154296875,3.952772617340088,0.06717829406261444,0.5975465774536133,0.4976651072502136
7,4,max_add_cloud,helsinki_fi_20250806T100000Z_s2b_msil2a_20250806t0940,helsinki_fi,2025-08-06T10:00:00+00:00,0.17310794815421104,97.08119201660156,100.0,2.9188079833984375,3.966480016708374,0.04190688207745552,0.5462107062339783,0.4976651072502136
96,2,alpha_0p50,reykjavik_is_20250605T130000Z_s2c_msil2a_20250605t1313,reykjavik_is,2025-06-05T13:00:00+00:00,0.5262789726257324,100.16826629638672,100.0,0.16826629638671875,3.986891031265259,0.15274499356746674,0.5119720697402954,0.4976651072502136
37,4,max_add_cloud,oslo_no_20250722T110000Z_s2a_msil2a_20250722t1037,oslo_no,2025-07-22T11:00:00+00:00,0.35635923345883685,101.592041015625,100.0,1.592041015625,4.163480758666992,0.10285759717226028,0.6407067179679871,0.4976651072502136
3,6,soft_add_cloud,oslo_no_20250723T110000Z_s2c_msil2a_20250723t1050,oslo_no,2025-07-23T11:00:00+00:00,0.18188480536142984,96.47432708740234,100.0,3.5256729125976562,4.426728248596191,0.036042213439941406,0.549096941947937,0.4976651072502136
90,2,alpha_0p50,athens_gr_20250419T090000Z_s2b_msil2a_20250419t0905,athens_gr,2025-04-19T09:00:00+00:00,0.5140252610047659,99.69573211669922,100.0,0.30426788330078125,4.515949726104736,0.16846726834774017,0.5058451890945435,0.4976651072502136
25,6,soft_add_cloud,oslo_no_20250723T110000Z_s2c_msil2a_20250723t1050,oslo_no,2025-07-23T11:00:00+00:00,0.22943768898646036,96.30711364746094,100.0,3.6928863525390625,4.618402004241943,0.03702063113451004,0.5455563068389893,0.4976651072502136
104,2,alpha_0p50,london_uk_20250728T110000Z_s2a_msil2a_20250728t1057,london_uk,2025-07-28T11:00:00+00:00,0.6110295653343201,98.5348129272461,100.0,1.4651870727539062,4.681812763214111,0.128665030002594,0.5543473362922668,0.4976651072502136
127,6,soft_add_cloud,reykjavik_is_20250730T130000Z_s2b_msil2a_20250730t1312,reykjavik_is,2025-07-30T13:00:00+00:00,0.4292147954305013,97.12576293945312,100.0,2.874237060546875,4.707338333129883,0.0733240470290184,0.5853288173675537,0.4976651072502136
37,6,soft_add_cloud,oslo_no_20250722T110000Z_s2a_msil2a_20250722t1037,oslo_no,2025-07-22T11:00:00+00:00,0.35635923345883685,96.61519622802734,100.0,3.3848037719726562,4.802209854125977,0.05669625103473663,0.5721049308776855,0.4976651072502136
9,6,soft_add_cloud,cairo_eg_20241128T090000Z_s2b_msil2a_20241128t0832,cairo_eg,2024-11-28T09:00:00+00:00,0.1536896675825119,95.8697509765625,100.0,4.1302490234375,4.853673934936523,0.028936991468071938,0.5372561812400818,0.4976651072502136
103,2,alpha_0p50,milan_it_20241201T100000Z_s2b_msil2a_20241201t1023,milan_it,2024-12-01T10:00:00+00:00,0.6485868295033773,99.38463592529297,100.0,0.6153640747070312,4.860187530517578,0.16979293525218964,0.573125958442688,0.4976651072502136
126,6,soft_add_cloud,reykjavik_is_20250322T130000Z_s2b_msil2a_20250322t1312,reykjavik_is,2025-03-22T13:00:00+00:00,0.49502721428871155,96.8892822265625,100.0,3.1107177734375,5.136516094207764,0.081031933426857,0.6110982298851013,0.4976651072502136
107,6,soft_add_cloud,reykjavik_is_20250428T130000Z_s2b_msil2a_20250428t1302,reykjavik_is,2025-04-28T13:00:00+00:00,0.6005941232045492,103.12541198730469,100.0,3.1254119873046875,5.547596454620361,0.09688737988471985,0.6205037832260132,0.4976651072502136
