name,frame,channel,channel_name,min,max,mean,std,nonzero_frac_gt_0p01,dark_frac_lt_0p02,white_frac_ge_0p35,binary_white_frac_ge_0p50
original,0,0,cloud_mask_or_fraction,0.0,1.0,0.6837499737739563,0.41513684391975403,0.82015625,0.1845703125,0.7303125,0.6848828125
original,0,1,cloud_probability,0.0,1.0,0.3487018942832947,0.30411580204963684,0.8123828125,0.19890625,0.4111328125,0.2735546875
original,0,2,white_cloud,0.0,1.0,0.6837499737739563,0.41513684391975403,0.82015625,0.1845703125,0.7303125,0.6848828125
original,0,3,cirrus,0.0,1.0,0.4831250011920929,0.4555369019508362,0.61734375,0.3879296875,0.525390625,0.4837890625
original,0,4,high_cloud,0.0,1.0,0.08375000208616257,0.22007876634597778,0.1990625,0.80796875,0.101484375,0.078046875
original,0,5,medium_cloud,0.0,1.0,0.11687500029802322,0.24567212164402008,0.2846875,0.7248828125,0.1474609375,0.109453125
original,0,6,aot_on_cloud,0.0,0.08627451211214066,0.057502761483192444,0.03476302698254585,0.791796875,0.260234375,0.0,0.0
original,0,7,visible_gray,0.0,0.9921568632125854,0.10035355389118195,0.1310560256242752,0.779921875,0.2554296875,0.0552734375,0.0294140625
original,1,0,cloud_mask_or_fraction,0.0,1.0,0.6837499737739563,0.41513684391975403,0.82015625,0.1845703125,0.7303125,0.6848828125
original,1,1,cloud_probability,0.0,1.0,0.3487018942832947,0.30411580204963684,0.8123828125,0.19890625,0.4111328125,0.2735546875
original,1,2,white_cloud,0.0,1.0,0.6837499737739563,0.41513684391975403,0.82015625,0.1845703125,0.7303125,0.6848828125
original,1,3,cirrus,0.0,1.0,0.4831250011920929,0.4555369019508362,0.61734375,0.3879296875,0.525390625,0.4837890625
original,1,4,high_cloud,0.0,1.0,0.08375000208616257,0.22007876634597778,0.1990625,0.80796875,0.101484375,0.078046875
original,1,5,medium_cloud,0.0,1.0,0.11687500029802322,0.24567212164402008,0.2846875,0.7248828125,0.1474609375,0.109453125
original,1,6,aot_on_cloud,0.0,0.08627451211214066,0.057502761483192444,0.03476302698254585,0.791796875,0.260234375,0.0,0.0
original,1,7,visible_gray,0.0,0.9921568632125854,0.10035355389118195,0.1310560256242752,0.779921875,0.2554296875,0.0552734375,0.0294140625
original,2,0,cloud_mask_or_fraction,0.0,1.0,0.6837499737739563,0.41513684391975403,0.82015625,0.1845703125,0.7303125,0.6848828125
