name,frame,channel,channel_name,absdiff_mean,absdiff_max,signed_mean_delta,positive_delta_frac_gt_0p01,negative_delta_frac_lt_minus_0p01
output_minus_input,2,4,high_cloud,0.023047305643558502,0.24501127004623413,-0.02304729074239731,0.0,0.148359375
output_minus_input,2,5,medium_cloud,0.39223164319992065,0.4479164183139801,0.39223164319992065,0.9249609375,0.0
output_minus_input,2,6,aot_on_cloud,0.05723107233643532,0.08627451211214066,-0.05723107233643532,0.0,0.791796875
output_minus_input,2,7,visible_gray,0.06471781432628632,0.18876339495182037,-0.06469358503818512,0.0,0.7334375
output_minus_input,3,0,cloud_mask_or_fraction,0.26666736602783203,0.44806182384490967,0.26666736602783203,0.656875,0.0
output_minus_input,3,1,cloud_probability,0.37019383907318115,0.4478164613246918,0.37019383907318115,0.92265625,0.0
output_minus_input,3,2,white_cloud,0.16775920987129211,0.44711464643478394,-0.16775920987129211,0.0,0.4533203125
output_minus_input,3,3,cirrus,0.22954745590686798,0.4415103793144226,-0.22954745590686798,0.0,0.61734375
output_minus_input,3,4,high_cloud,0.024700457230210304,0.267292857170105,-0.024700457230210304,0.0,0.148203125
output_minus_input,3,5,medium_cloud,0.3870789706707001,0.4474194347858429,0.3870789706707001,0.9271484375,0.0
output_minus_input,3,6,aot_on_cloud,0.3068799674510956,0.395089715719223,0.30661383271217346,0.9091796875,0.0069140625
output_minus_input,3,7,visible_gray,0.37504810094833374,0.43543457984924316,0.37504810094833374,0.93125,0.0
output_minus_original,0,0,cloud_mask_or_fraction,0.29633331298828125,0.9918060302734375,-0.07725563645362854,0.311171875,0.351796875
output_minus_original,0,1,cloud_probability,0.29444393515586853,1.0,-0.29444393515586853,0.0,0.8123828125
output_minus_original,0,2,white_cloud,0.2940217852592468,0.9745755791664124,-0.074844129383564,0.313125,0.34921875
output_minus_original,0,3,cirrus,0.21838240325450897,0.4434695839881897,0.21838240325450897,0.588984375,0.0
output_minus_original,0,4,high_cloud,0.06885825842618942,1.0,-0.06885825842618942,0.0,0.1990625
output_minus_original,0,5,medium_cloud,0.09865664690732956,1.0,-0.09865664690732956,0.0,0.2846875
output_minus_original,0,6,aot_on_cloud,0.056745629757642746,0.08627451211214066,-0.056745629757642746,0.0,0.7917578125
output_minus_original,0,7,visible_gray,0.09590011835098267,0.9921568632125854,-0.09590011835098267,0.0,0.779921875
output_minus_original,1,0,cloud_mask_or_fraction,0.29622483253479004,0.9747443199157715,-0.06284727156162262,0.323203125,0.3458984375
output_minus_original,1,1,cloud_probability,0.2984476685523987,1.0,-0.2984476685523987,0.0,0.8123828125
output_minus_original,1,2,white_cloud,0.29846739768981934,0.9504609107971191,-0.06504485756158829,0.3219140625,0.3498046875
output_minus_original,1,3,cirrus,0.22745703160762787,0.44829681515693665,0.22745703160762787,0.5981640625,0.0
output_minus_original,1,4,high_cloud,0.06963381171226501,1.0,-0.06963381171226501,0.0,0.1990625
output_minus_original,1,5,medium_cloud,0.09855003654956818,1.0,-0.09855003654956818,0.0,0.2846875
output_minus_original,1,6,aot_on_cloud,0.05703163519501686,0.08627451211214066,-0.05703163519501686,0.0,0.79171875
output_minus_original,1,7,visible_gray,0.09632521867752075,0.9921568632125854,-0.09632521867752075,0.0,0.779921875
output_minus_original,2,0,cloud_mask_or_fraction,0.291786253452301,0.9664743542671204,-0.06464504450559616,0.3109375,0.344921875
output_minus_original,2,1,cloud_probability,0.33416885137557983,0.860642671585083,0.2395893931388855,0.760234375,0.152734375
output_minus_original,2,2,white_cloud,0.2925039827823639,1.0,-0.06968572735786438,0.308828125,0.3490625
output_minus_original,2,3,cirrus,0.21575573086738586,0.4226962924003601,-0.21575573086738586,0.0,0.61734375
output_minus_original,2,4,high_cloud,0.05790393054485321,1.0,-0.05790390819311142,0.0,0.1990625
output_minus_original,2,5,medium_cloud,0.37765297293663025,0.8219944834709167,0.34448423981666565,0.867578125,0.0557421875
output_minus_original,2,6,aot_on_cloud,0.05723107233643532,0.08627451211214066,-0.05723107233643532,0.0,0.791796875
output_minus_original,2,7,visible_gray,0.07993809133768082,0.9921568632125854,-0.07991387695074081,0.0,0.761171875
output_minus_original,3,0,cloud_mask_or_fraction,0.288799524307251,0.9593464732170105,-0.06301631033420563,0.312109375,0.340625
output_minus_original,3,1,cloud_probability,0.33357784152030945,0.9066245555877686,0.23663140833377838,0.7601953125,0.154765625
output_minus_original,3,2,white_cloud,0.5045931339263916,1.0,-0.5045931339263916,0.0,0.82015625
output_minus_original,3,3,cirrus,0.22954745590686798,0.4415103793144226,-0.22954745590686798,0.0,0.61734375
output_minus_original,3,4,high_cloud,0.060018010437488556,1.0,-0.060018010437488556,0.0,0.1990625
output_minus_original,3,5,medium_cloud,0.3735485076904297,0.9000474810600281,0.3378349244594574,0.867421875,0.05890625
output_minus_original,3,6,aot_on_cloud,0.3068799674510956,0.395089715719223,0.30661383271217346,0.9091796875,0.0069140625
output_minus_original,3,7,visible_gray,0.368106484413147,0.8871722221374512,0.35983699560165405,0.9093359375,0.019921875
